Top mutual fund holders
Holder,Shares,Date reported,% out,Value
Nuveen Small Cap Value Fund,511290,29 Jun 2017,2.27%,15415393
Janus Henderson Venture Fund,438519,29 Jun 2017,1.95%,13221347
John Hancock Var Ins Tr-Small Cap Value Tr,410088,30 Mar 2017,1.82%,13758452
Vanguard Total Stock Market Index Fund,409839,30 Mar 2017,1.82%,13750098
Meridian Small Cap Growth Fund,385399,30 Mar 2017,1.71%,12930136
USAA Mutual Fund Tr-Small Cap Stock Fund,342177,29 Apr 2017,1.52%,11993303
iShares Russell 2000 ETF,339015,29 Jun 2017,1.51%,10221302
Vanguard Extended Market Index Fund,245857,30 Mar 2017,1.09%,8248502
AMG Managers River Road Small Cap Value Fund,215369,30 Mar 2017,0.96%,7225629
John Hancock Fds II-Small Cap Value Fund,210238,29 Jun 2017,0.93%,6338675

Top institutional holders
Holder,Shares,Date reported,% out,Value
Wellington Management Company LLP,2510966,29 Jun 2017,11.16%,75705623
Blackrock Inc.,1224003,29 Jun 2017,5.44%,36903689
ArrowMark Colorado Holdings LLC,1123148,29 Jun 2017,4.99%,33862911
P2 Capital Partners LLC,1112900,29 Jun 2017,4.94%,33553934
Bernzott Capital Advisors,945720,29 Jun 2017,4.20%,28513457
Vanguard Group Inc. (The),942891,29 Jun 2017,4.19%,28428163
Dimensional Fund Advisors LP,914092,29 Jun 2017,4.06%,27559873
River Road Asset Management LLC,863909,29 Jun 2017,3.84%,26046856
Investment Counselors of Maryland,712112,29 Jun 2017,3.16%,21470176
Lionstone Capital Management LLC,655615,29 Jun 2017,2.91%,19766791

https://uk.finance.yahoo.com/quote/SP/holders?p=SP
